Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Patrik | ♂ | A Patrícius ‣ név ír eredetű alakváltozata | | „közepesen gyakori” → „nagyon gyakori”
Pázmán | ♂ | Régi magyar személynév | az , akit felismertek , akire ráismertek | „néhány előfordulás” → „néhány előfordulás”
Pázmány | ♂ | az Árpád-korban előfordult egyedi férfinévként , majd később apanévi eredetű családnévvé vált . | | „néhány előfordulás” → „néhány előfordulás”
Pelágiusz | ♂ | Görög eredetű névnek a latin formájából származik | tengerész | „néhány előfordulás” → „néhány előfordulás”
Pelbárt | ♂ | A latin Privartus név középkori magyar megfelelője | jelentése ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Pellegrin | ♂ | A latin Peregrinus név magyar megfelelője | jövevény ; zarándok | „néhány előfordulás” → „néhány előfordulás”
Pentele | ♂ | A Pantaleon ‣ név régi magyar megfelelője | | „néhány előfordulás” → „néhány előfordulás”
Periklész | ♂ | Görög eredetű név | nagyon híres | „néhány előfordulás” → „néhány előfordulás”
Perjámos | ♂ | Görög mitológiai eredetű név | megvásárolt ; király | „néhány előfordulás” → „néhány előfordulás”
Péter | ♂ | Péter ‣ apostol neve a Bibliában eredetileg az arameus Kéfa , Kéfás volt , ennek görög fordítása a Petrosz név | szikla | „első tízben” → „első tízben”
Pető | ♂ | A Péter ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „rendkívül ritka”
Petres | ♂ | A Péter ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Petrik | ♂ | Péter ‣ szláv kicsinyítőképzős alakváltozata | szikla | „néhány előfordulás” → „nagyon ritka”
Petróniusz | ♂ | A római Petronius nemzetségnévből származik | edzett férfi ; kő | „néhány előfordulás” → „néhány előfordulás”
Petur | ♂ | A Petúr ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Petúr | ♂ | A Péter ‣ névnek a régi , nyelvjárási Petür változatát a középkori helyesírás szerint Petur ‣ formában írták . ; Ennek a XVIII-XIX . századi téves olvasatából származik a Petúr ‣ név , amelyet Katona József ‣ Bánk ‣ bán című drámájának egyik szereplője tett ismertté . | 03-17
Piládész | ♂ | A görög mitológiai Püladész névből származik | jelentése ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Pió | ♂ | Latin Piusz ‣ alakváltozata | jámbor ; kegyes | „néhány előfordulás” → „néhány előfordulás”
Piramusz | ♂ | A görög Püramosz névből származik | | „néhány előfordulás” → „néhány előfordulás”
Piusz | ♂ | Latin eredetű név | jámbor ; kegyes | „rendkívül ritka” → „néhány előfordulás”
Placid | ♂ | Latin eredetű név | csendes ; nyugodt ; békés | „néhány előfordulás” → „néhány előfordulás”
Platón | ♂ | Görög név ; A híres ókori görög filozófus nevéből származik | széles vállú | „néhány előfordulás” → „néhány előfordulás”
Polidor | ♂ | A görög mitológiai Polüdórosz névből származik | adakozó ; bőkezű | „néhány előfordulás” → „néhány előfordulás”
Polikárp | ♂ | A görög Polükarposz névből származik | bőtermő | „néhány előfordulás” → „néhány előfordulás”
Pongor | ♂ | A Pongrác ‣ régi magyar formája | | „néhány előfordulás” → „néhány előfordulás”
Pongrác | ♂ | A görög Pankratész név latin Pancratius formájából származik | mindenható erő | „nagyon ritka” → „nagyon ritka”
Porfir | ♂ | A görög mitológiai Porphürión névből származik | bíborba öltözött | „néhány előfordulás” → „néhány előfordulás”
Pósa | ♂ | A Pál ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Prímusz | ♂ | Latin eredetű név | elsőszülött fiú | „néhány előfordulás” → „néhány előfordulás”
Principiusz | ♂ | Latin eredetű név | fejedelem | „néhány előfordulás” → „néhány előfordulás”
Rabán | ♂ | Germán eredetű | holló | „néhány előfordulás” → „rendkívül ritka”
Radamesz | ♂ | Verdi Aida ‣ c . Operájában egyiptomi hadvezér neve | | „néhány előfordulás” → „néhány előfordulás”
Radiszló | ♂ | A szláv Radislav név régi magyar formája | öröm + dicsőség | „néhány előfordulás” → „néhány előfordulás”
Radó | ♂ | A magyarban a Rad - kezdetű , szláv eredetű nevek önállósult régi becézője | | „néhány előfordulás” → „rendkívül ritka”
Radomér | ♂ | A szláv Radomir régi magyar formája | öröm + béke | „néhány előfordulás” → „néhány előfordulás”
Rados | ♂ | A Rad - kezdetű , szláv eredetű nevek régi magyar becézőjéből | | „néhány előfordulás” → „néhány előfordulás”
Radován | ♂ | Szláv eredetű | | „néhány előfordulás” → „rendkívül ritka”
Radvány | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Rafael | ♂ | Héber eredetű bibliai név | Isten meggyógyított | „elég ritka” → „elég ritka”
Ráfis | ♂ | A Rafael ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Ragnar | ♂ | norvég | védelem ; harcos | „néhány előfordulás” → „rendkívül ritka”
Rajmond | ♂ | A Rajmund ‣ angol , francia alakváltozatából szárm . | | „elég ritka” → „elég ritka”
Rajmund | ♂ | Germán eredetű német névből | ( isteni ) tanács ; döntés + védelem | „elég ritka” → „elég ritka”
Rajnald | ♂ | A germán Raginwald névből | ( isteni ) tanács ; döntés + uralkodó ; tevékeny | „néhány előfordulás” → „rendkívül ritka”
Ralf | ♂ | A germán Radwulf ; Radulf ; Radolf névnek az angol eredetű rövidülése | ( isteni ) tanács ; döntés + farkas | „rendkívül ritka” → „rendkívül ritka”
Ramirez | ♂ | Ramiró ‣ név alakváltozata | tanács ; döntés + híres | „néhány előfordulás” → „nagyon ritka”
Ramiró | ♂ | Ógermán eredetű spanyol név | tanács ; döntés + híres | „néhány előfordulás” → „nagyon ritka”
Ramiz | ♂ | arab | kedves ; intelligens | „néhány előfordulás” → „rendkívül ritka”
Ramón | ♂ | A Rajmund ‣ spanyol megfelelőjének átvitele | | „nagyon ritka” → „nagyon ritka”
Ramszesz | ♂ | Ókori egyiptomi név | Ré szülötte | „néhány előfordulás” → „néhány előfordulás”
Rápolt | ♂ | A germán eredetű , német Ratbold névnek a régi magyar formája | tanács(adó ) + merész | „néhány előfordulás” → „néhány előfordulás”
Rasid | ♂ | arab eredetű | aki megmutatja az egyedüli helyes utat | „néhány előfordulás” → „néhány előfordulás”
Rátold | ♂ | A germán eredetű , német Ratold , Ratolt névnek a régi magyar formája | tanács(adó ) + uralkodó ; tevékeny | „néhány előfordulás” → „néhány előfordulás”
Raul | ♂ | A francia Raoul névből szárm . | | „nagyon ritka” → „elég ritka”
Razmus | ♂ | Az Erazmus ‣ német rövidüléséből | | „néhány előfordulás” → „néhány előfordulás”
Rázsony | ♂ | A régi magyar Rázsony ‣ személynév alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Reginald | ♂ | A Rajnald ‣ alapjául szolgáló germán név egyik német alakváltozatából szárm . | | „néhány előfordulás” → „néhány előfordulás”
Regő | ♂ | Régi magyar | | „nagyon ritka” → „elég ritka”
Regös | ♂ | A regös szóból szárm . | középkori énekmondó | „néhány előfordulás” → „néhány előfordulás”
Regős | ♂ | A Regös ‣ név újabb alakváltozata | | „néhány előfordulás” → „nagyon ritka”
Remig | ♂ | A latin Remigius név rövidülése | hajós ; evezős | „néhány előfordulás” → „rendkívül ritka”
Rémus | ♂ | A Rémusz ‣ névnek a magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Rémusz | ♂ | A latin Remus névből | ? gyorsan mozgó | „néhány előfordulás” → „néhány előfordulás”
Renátó | ♂ | A Renátusz ‣ olasz formájából származik | | „elég ritka” → „elég ritka”
Renátusz | ♂ | Latin eredetű | újjászületett | „néhány előfordulás” → „néhány előfordulás”
René | ♂ | A Renátusz ‣ francia formájából származik | | „nagyon ritka” → „nagyon ritka”
Réva | ♂ | Régi magyar | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Rézmán | ♂ | Az Erazmus ‣ német eredetű , régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Rezső | ♂ | Magyar nyelvújítási alkotás a Rudolf ‣ név magyarosítására | | „elég ritka” → „nagyon ritka”
Richárd | ♂ | Germán eredetű | hatalmas ; uralkodó + erős ; merész | „nagyon gyakori” → „nagyon gyakori”
Rihárd | ♂ | A Richárd ‣ alakváltozata | hatalmas ; uralkodó + erős ; merész | „nagyon ritka” → „rendkívül ritka”
Rikárdó | ♂ | Richárd ‣ név spanyol alakváltozata | hatalmas ; uralkodó + erős ; merész | „elég ritka” → „közepesen gyakori”
Rinaldó | ♂ | A Rajnald ‣ név valamelyik germán alakváltozatának olasz formájából szárm . | | „rendkívül ritka” → „rendkívül ritka”
Róbert | ♂ | A germán Hrodebert ; Rodebert névből szárm . | dicsőség ; hírnév + fényes ; híres | „nagyon gyakori” → „közepesen gyakori”
Robertó | ♂ | Róbert ‣ olasz alakváltozata | dicsőség ; hírnév + fényes ; híres | „rendkívül ritka” → „elég ritka”
Robin | ♂ | A Róbert ‣ angol becézőjéből önállósult | | „elég ritka” → „nagyon ritka”
Robinzon | ♂ | A Robin ‣ névből képzett családnév | Robin ‣ fia | „néhány előfordulás” → „néhány előfordulás”
Rodel | ♂ | Roderik ‣ alakváltozata | dicsőség ; hírnév + hatalmas ; uralkodó | „néhány előfordulás” → „néhány előfordulás”
Roderik | ♂ | Germán eredetű | dicsőség ; hírnév + hatalmas ; uralkodó | „rendkívül ritka” → „rendkívül ritka”
Rodion | ♂ | A keleti keresztények által használt keresztnév | Rodosz szigetéről való | „néhány előfordulás” → „néhány előfordulás”
Rodrigó | ♂ | A Roderik ‣ spanyol formájából szárm . | | „nagyon ritka” → „nagyon ritka”
Rokkó | ♂ | A Rókus ‣ név olasz formájából | | „rendkívül ritka” → „néhány előfordulás”
Rókus | ♂ | A germán eredetű Rochwald névnek a rövidült és latinosított Rochus formájából szárm . | kiált ; üvölt | „rendkívül ritka” → „rendkívül ritka”
Roland | ♂ | A germán Hruodnand névből | dicsőség ; hírnév + merész | „nagyon gyakori” → „nagyon gyakori”
Rolf | ♂ | A Rudolf ‣ német becézőjéből önállósult | | „nagyon ritka” → „néhány előfordulás”
Román | ♂ | A latin Romanus rövidülése | római ( férfi ) | „nagyon ritka” → „néhány előfordulás”
Románó | ♂ | Román ‣ latin alakváltozata | római ( férfi ) | „néhány előfordulás” → „rendkívül ritka”
Romárió | ♂ | Latin eredetű | | „néhány előfordulás” → „rendkívül ritka”
Rómeó | ♂ | A latin Romaeus név olasz formája | római ; Római Birodalomból származó | „elég ritka” → „elég ritka”
Romuald | ♂ | Germán eredetű | dicsőség ; hírnév + uralkodó ; tevékeny | „néhány előfordulás” → „néhány előfordulás”
Romulusz | ♂ | A Romulus névből | ? | „néhány előfordulás” → „néhány előfordulás”
Romvald | ♂ | A Romuald ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Ron | ♂ | Ronald ‣ név angol rövid alakváltozata | isteni tanács , döntés + uralkodó , | „néhány előfordulás” → „rendkívül ritka”
Ronald | ♂ | A Rajnald ‣ , Reinald név skót eredetű angol alakváltozatából | isteni tanács , döntés + uralkodó , | „nagyon ritka” → „rendkívül ritka”
Ronaldó | ♂ | Ronald ‣ név spanyol és portugál alakváltozata | isteni tanács , döntés + uralkodó , | „nagyon ritka” → „elég ritka”
Ronel | ♂ | Héber eredetű | Isten vidám dalnoka | „néhány előfordulás” → „rendkívül ritka”
Ronen | ♂ | Héber eredetű | örömteli hangok | „néhány előfordulás” → „rendkívül ritka”
Roni | ♂ | Angol név | A Ronald ‣ rövidült alakváltozata | „rendkívül ritka” → „rendkívül ritka”
Ruben | ♂ | Bibliai név | ? nézzétek , egy fiú | „elég ritka” → „elég ritka”
Rúben | ♂ | Ruben ‣ név alakváltozata | ? nézzétek , egy fiú | „néhány előfordulás” → „rendkívül ritka”
Rudolf | ♂ | Germán eredetű német névből | dicsőség ; hírnév + farkas | „közepesen gyakori” → „elég ritka”
Rúfusz | ♂ | Latin eredetű | vörös ; vöröses ; vöröses hajú | „néhány előfordulás” → „néhány előfordulás”
Ruga | ♂ | Régi magyar | ismeretlen | „néhány előfordulás” → „rendkívül ritka”
Rupert | ♂ | A Róbert ‣ délnémet eredetű alakváltozatából | | „rendkívül ritka” → „néhány előfordulás”
Ruszlán | ♂ | Török eredetű orosz névből | oroszlán | „néhány előfordulás” → „rendkívül ritka”
Rusztem | ♂ | Perzsa eredetű | vidéki | „néhány előfordulás” → „néhány előfordulás”
Ruven | ♂ | Ruben ‣ név alakváltozata | ? nézzétek , egy fiú | „néhány előfordulás” → „rendkívül ritka”
Salamon | ♂ | Héber eredetű bibliai név | békés ; szelíd | „nagyon ritka” → „nagyon ritka”
Sámson | ♂ | Héber eredetű bibliai név | a Nap fia | „rendkívül ritka” → „rendkívül ritka”
Samu | ♂ | A Sámuel ‣ név magyar rövidülése | | „nagyon ritka” → „elég ritka”
Sámuel | ♂ | Héber eredetű bibliai név | Isten meghallgatott | „elég ritka” → „elég ritka”
Sándor | ♂ | Az Alexander ‣ név rövidülésének a megmagyarosodott alakja | férfiakat védő ; férfiaktól megvédő | „első tízben” → „nagyon gyakori”
Sarel | ♂ | Héber eredetű | Isten szolgálja ; Isten által kijelölt előljáró | „néhány előfordulás” → „rendkívül ritka”
Saul | ♂ | Héber eredetű bibliai név | a kért ; kiesdeklett | „néhány előfordulás” → „néhány előfordulás”
Sebes | ♂ | A Sebestyén ‣ régi magyar becéző rövidülése | | „néhány előfordulás” → „rendkívül ritka”
Sebestyén | ♂ | A latin Sebastianus név rövidülésének a megmagyarosodott alakja | Szebaszte ( latinosan Sebastia ) városából való | „elég ritka” → „elég ritka”
Sebő | ♂ | A Sebestyén ‣ régi magyar becézőjéből önállósult | | „rendkívül ritka” → „nagyon ritka”
Sebők | ♂ | A Sebestyén ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Sejbán | ♂ | Mongol eredetű | | „néhány előfordulás” → „néhány előfordulás”
Sém | ♂ | héber eredetű | hírnév ; dicsőség | „néhány előfordulás” → „néhány előfordulás”
Semjén | ♂ | A Simeon ‣ régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Simeon | ♂ | Héber eredetű bibliai név | meghallgatás ; meghallgattatás | „rendkívül ritka” → „nagyon ritka”
Simon | ♂ | A Simeon ‣ név görög Szimón alakváltozatából származik | | „elég ritka” → „közepesen gyakori”
Sion | ♂ | Héber eredetű | ? Víztelen hely ; vízben szegény hely | „néhány előfordulás” → „néhány előfordulás”
Sjám | ♂ | Szanszkrit eredetű | fekete ; sötétkék ; felhő ; sötét arckifejezés | „néhány előfordulás” → „néhány előfordulás”
Solt | ♂ | Régi magyar személynév | uralkodó | „rendkívül ritka” → „rendkívül ritka”
Solymár | ♂ | Régi magyar személynév | sólyommal foglalkozó | „néhány előfordulás” → „néhány előfordulás”
Sólyom | ♂ | A hasonló madárnévből származó régi magyar személynév | | „rendkívül ritka” → „nagyon ritka”
Som | ♂ | A hasonló növénynévből származó régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Soma | ♂ | A magyar nyelvújítók alkották a som szóból a Kornél ‣ ( Cornelius ) magyarítására , annak a feltevésnek az alapján , amely szerint ez a latin eredetű név egy somfa jelentésű szó származéka | | „elég ritka” → „közepesen gyakori”
Spartakusz | ♂ | Szpartakusz ‣ név alakváltozata | Spártából származó | „néhány előfordulás” → „néhány előfordulás”
Stefán | ♂ | István ‣ szláv alakváltozata | koszorú | „rendkívül ritka” → „nagyon ritka”
Surány | ♂ | Régi magyar személynév | sógor ; herceg | „néhány előfordulás” → „néhány előfordulás”
Surd | ♂ | Régi magyar személynév | herceg | „néhány előfordulás” → „néhány előfordulás”
Suriel | ♂ | Héber eredetű bibliai név | Isten az én kősziklám | „néhány előfordulás” → „néhány előfordulás”
Sükösd | ♂ | A Szixtusz ‣ névnek a régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Szabin | ♂ | A latin Sabinus névből szárm . | szabin férfi | „néhány előfordulás” → „néhány előfordulás”
Szabolcs | ♂ | Ismeretlen eredetű régi magyar név | | „nagyon gyakori” → „nagyon gyakori”
Szaján | ♂ | Török eredetű magyar személynév | gyík | „néhány előfordulás” → „néhány előfordulás”
Szalárd | ♂ | szláv eredetű régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Szaléz | ♂ | Szalézi Szent Ferencnek a megkülönböztető előnevéből önállósult | | „néhány előfordulás” → „rendkívül ritka”
Szalók | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Szalvátor | ♂ | Latin eredetű | megváltó ; üdvözítő | „néhány előfordulás” → „néhány előfordulás”
Szalviusz | ♂ | Latin eredetű | sértetlen ; ép | „néhány előfordulás” → „néhány előfordulás”
Szamir | ♂ | Arab eredetű | aki társalog valakivel az éjszaka ; aki a virrasztáskor mesél | „néhány előfordulás” → „rendkívül ritka”
Szandró | ♂ | Sándor ‣ név több nyelveben megtalálható alakváltozata | férfiakat védő ; férfiaktól megvédő | „néhány előfordulás” → „néhány előfordulás”
Szaniszló | ♂ | A szláv Stanislav névből szárm . | állhatatosság ; szilárdság + dicsőség | „nagyon ritka” → „néhány előfordulás”
Szantiágó | ♂ | Spanyol eredetű | Szent Jakab ‣ | „néhány előfordulás” → „nagyon ritka”
Szantínó | ♂ | latin eredetű olasz Santo név alakváltozata | szent ; tiszteletreméltó ; | „néhány előfordulás” → „rendkívül ritka”
Szatmár | ♂ | Régi magyar | elad ; kereskedik | „néhány előfordulás” → „néhány előfordulás”
Szavér | ♂ | Xavér ‣ név alakváltozata | új ház | „néhány előfordulás” → „néhány előfordulás”
Szebáld | ♂ | germán eredetű német névből | győzelem + merész | „néhány előfordulás” → „néhány előfordulás”
Szebasztián | ♂ | A Sebestyén ‣ névnek a latin eredetihez közel álló alakváltozata | | „elég ritka” → „közepesen gyakori”
Szecső | ♂ | Régi magyar | kiválaszt(ott ) | „néhány előfordulás” → „néhány előfordulás”
Szedrik | ♂ | Kelta eredetű | kedves + szeretetre méltó | „néhány előfordulás” → „néhány előfordulás”
Szelemér | ♂ | Régi magyar | ivadék ; sarj ; leszármazott | „néhány előfordulás” → „néhány előfordulás”
Szelestény | ♂ | Régi magyar | ? falu lakója ; falusi | „néhány előfordulás” → „néhány előfordulás”
Szelim | ♂ | Héber eredetű arab névből szárm . | béke | „néhány előfordulás” → „néhány előfordulás”
Szemere | ♂ | Régi magyar | szemecske | „néhány előfordulás” → „rendkívül ritka”
Szemír | ♂ | Arab eredetű | kellemes társalkodó az éjszakai beszélgetésben | „néhány előfordulás” → „rendkívül ritka”
Szendrő | ♂ | Bizonytalan eredetű | | „néhány előfordulás” → „néhány előfordulás”
Szente | ♂ | Régi magyar | jámbor ; vallásos | „néhány előfordulás” → „néhány előfordulás”
Szeráf | ♂ | A héber eredetű latin Seraphinus névnek a német rövidüléséből | tündöklő ; égő ; nemes | „néhány előfordulás” → „néhány előfordulás”
Szerénd | ♂ | -- | | „néhány előfordulás” → „néhány előfordulás”
Szerénusz | ♂ | Latin eredetű | derűs ; nyugodt | „néhány előfordulás” → „néhány előfordulás”
Szergiusz | ♂ | Latin eredetű | ( meg)őrző ; gondozó ; felügyelő | „néhány előfordulás” → „néhány előfordulás”
Szervác | ♂ | A latin Servatius név rövidülése | megmentett | „néhány előfordulás” → „néhány előfordulás”
Szevér | ♂ | A latin Severus név rövidülése | komoly ; szigorú | „néhány előfordulás” → „néhány előfordulás”
Szeveréd | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Szeverián | ♂ | Szeverin ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Szeverin | ♂ | A latin Severinus családnévből szárm . | | „rendkívül ritka” → „rendkívül ritka”
Szidor | ♂ | Az Izidor ‣ név szláv alakváltozatából | | „néhány előfordulás” → „néhány előfordulás”
Szigfrid | ♂ | A germán eredetű , német Siegfried névből | győzelem + béke | „rendkívül ritka” → „néhány előfordulás”
Szilamér | ♂ | a régi magyar Szelemér ‣ név alakváltozata | | „rendkívül ritka” → „néhány előfordulás”
Szilárd | ♂ | Magyar nyelvújítási alkotás a Konstantin ‣ név magyarosítására | | „közepesen gyakori” → „közepesen gyakori”
Szilas | ♂ | Régi magyar | | „néhány előfordulás” → „nagyon ritka”
Szilvánusz | ♂ | Latin eredetű | erdő | „néhány előfordulás” → „néhány előfordulás”
Szilver | ♂ | Óangol eredetű | ezüst hajú | „néhány előfordulás” → „néhány előfordulás”
Szilvér | ♂ | Szilver ‣ alakváltozata | ezüst hajú | „néhány előfordulás” → „néhány előfordulás”
Szilveszter | ♂ | Latin eredetű | erdei ; erdőben élő ( férfi ) | „közepesen gyakori” → „elég ritka”
Szilvió | ♂ | A Szilviusz ‣ név olasz alakváltozatából | | „néhány előfordulás” → „néhány előfordulás”
Szilviusz | ♂ | Latin eredetű | erdő | „néhány előfordulás” → „néhány előfordulás”
Szindbád | ♂ | Ind eredetű | | „néhány előfordulás” → „néhány előfordulás”
Szíriusz | ♂ | A latin Syrius névből szárm . | szíriai ( férfi ) | „néhány előfordulás” → „rendkívül ritka”
Szixtusz | ♂ | A görög Xüsztosz név latin Sixtus formájából származik | csiszolt ; sima | „néhány előfordulás” → „rendkívül ritka”
Szofron | ♂ | Görög eredetű | okos ; megfontolt | „néhány előfordulás” → „néhány előfordulás”
Szókratész | ♂ | Görög eredetű | ( meg)ment + erő | „néhány előfordulás” → „néhány előfordulás”
Szólát | ♂ | A Szórád ‣ régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Szolón | ♂ | A hasonló nevű ógörög államférfi nevéből vált keresztnévvé | | „néhány előfordulás” → „néhány előfordulás”
Szórád | ♂ | Szláv eredetű régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Szovárd | ♂ | Régi magyar | Benkő ‣ L . | „néhány előfordulás” → „néhány előfordulás”
Szovát | ♂ | Szláv eredetű régi magyar | szent | „néhány előfordulás” → „néhány előfordulás”
Szörénd | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Szörény | ♂ | A régi magyar Szeveren személynévből | szerető ; szeretett ; kis mormota | „néhány előfordulás” → „néhány előfordulás”
Szpartakusz | ♂ | Latin eredetű | Spártából származó | „néhány előfordulás” → „néhány előfordulás”
Tacitusz | ♂ | Latin eredetű ; Tacitus római történetíró nevéből származik | csendes ; hallgatag | „néhány előfordulás” → „néhány előfordulás”
Taddeus | ♂ | Héber eredetű bibliai névnek a latinosított formájából származik | jelentése tisztázatlan , talán : a bátor | „néhány előfordulás” → „néhány előfordulás”
Tádé | ♂ | A Taddeus ‣ név rövidülése | jelentése tisztázatlan , talán : a bátor | „rendkívül ritka” → „nagyon ritka”
Tadeusz | ♂ | Héber eredetű bibliai név | jelentése tisztázatlan , talán : a bátor | „néhány előfordulás” → „néhány előfordulás”
Taksony | ♂ | Török eredetű régi magyar személynév | szilaj ; fékezhetetlen ; ( Más , kevésbé elfogadott feltevés szerint a jelentése : jóllakott .) | „néhány előfordulás” → „néhány előfordulás”
Talabér | ♂ | A Talabor ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Talabor | ♂ | Régi magyar személynév | csataló ; kerékkötő eszköz | „néhány előfordulás” → „néhány előfordulás”
Talamér | ♂ | Régi magyar személynév | távol + béke | „néhány előfordulás” → „néhány előfordulás”
Táltos | ♂ | Régi magyar személynév | varázserővel rendelkező | „néhány előfordulás” → „néhány előfordulás”
Tamás | ♂ | A bibliai , héber ( arameus ) eredetű Teomo névből származik | iker ; csodálatos | „rendkívül gyakori” → „rendkívül gyakori”
Tankréd | ♂ | Germán eredetű név | gondolat + tanács | „néhány előfordulás” → „néhány előfordulás”
Tar | ♂ | Régi magyar személynév | kopasz ; szőrtelen ; szakákálltalan | „néhány előfordulás” → „néhány előfordulás”
Taráz | ♂ | Görög eredetű név | jelentése tisztázatlan | „néhány előfordulás” → „néhány előfordulás”
Tarcal | ♂ | Tisztázatlan eredetű régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Tarcsa | ♂ | Régi magyar személynév | kopaszka | „néhány előfordulás” → „néhány előfordulás”
Tardos | ♂ | Régi magyar személynév | megállt ; megmaradt | „néhány előfordulás” → „nagyon ritka”
Tarek | ♂ | az arab Tari qegyik alakváltozata | az , aki várja a hajnalcsillag eljövetelét | „néhány előfordulás” → „néhány előfordulás”
Tarján | ♂ | Az egyik honfoglaló magyar törzs nevéből származik | alkirály | „néhány előfordulás” → „néhány előfordulás”
Tárkány | ♂ | Régi magyar személynév | alkirály | „néhány előfordulás” → „néhány előfordulás”
Tarsa | ♂ | Régi magyar személynév | kopaszka | „néhány előfordulás” → „néhány előfordulás”
Tarzíciusz | ♂ | Görög eredetű név latin formájából származik | Tarzosz városából való | „néhány előfordulás” → „néhány előfordulás”
Tas | ♂ | Régi magyar személynév | kő | „nagyon ritka” → „nagyon ritka”
Tasnád | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Tasziló | ♂ | Olasz eredetű név ; Az ismeretlen eredetű Tasso névnek a becéző formája | | „néhány előfordulás” → „néhány előfordulás”
Tege | ♂ | Régi magyar személynév | kos | „néhány előfordulás” → „rendkívül ritka”
Tegze | ♂ | Régi magyar személynév | ? Nyilat kilövő | „néhány előfordulás” → „néhány előfordulás”
Temes | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Teó | ♂ | A Teo -, a németben Theo - kezdetű nevek önállósult rövidülése | | „rendkívül ritka” → „nagyon ritka”
Teobald | ♂ | A germán eredetű Dietbald név görögösített formájából származik | nép + merész | „néhány előfordulás” → „néhány előfordulás”
Teodor | ♂ | Görög eredetű név | Isten ajándéka | „nagyon ritka” → „nagyon ritka”
Teofil | ♂ | Görög eredetű név | Isten kedveltje ; Istent kedvelő ; Isten barátja | „nagyon ritka” → „nagyon ritka”
Terestyén | ♂ | A Trisztán ‣ név régi magyar formája | | „néhány előfordulás” → „néhány előfordulás”
Tétény | ♂ | A régi magyar Tühütüm személynévből származik | herceg | „néhány előfordulás” → „rendkívül ritka”
Tézeusz | ♂ | Görög mitológiai eredetű név | alapító | „néhány előfordulás” → „néhány előfordulás”
Tibád | ♂ | A Teobald ‣ név régi magyar formája | | „néhány előfordulás” → „néhány előfordulás”
Tibériusz | ♂ | Latin eredetű név ; Római nemzetségnévből vált keresztnévvé | ( a ) Tiberis ( folyó ) melletti | „néhány előfordulás” → „néhány előfordulás”
Tibold | ♂ | A Teobald ‣ név magyar formája | | „néhány előfordulás” → „néhány előfordulás”
Tibor | ♂ | ? Általában a Tiborc ‣ név rövidülésének tartják ; Más feltevés szerint azonban Bod ‣ Péter ‣ alkotta a hasonló erdélyi helységnévből , amely ismeretlen , talán szláv eredetű . | | „rendkívül gyakori” → „közepesen gyakori”
Tiborc | ♂ | A latin Tiburtius név rövidüléséből származik | ( a Róma melletti ) Tibur városából való férfi | „rendkívül ritka” → „néhány előfordulás”
Ticián | ♂ | A latin Titianus nemzetségnévből származik | a Titius nemzetséghez tartozó ; a Titius név jelentése pedig : Titiustól , ill . Tatiustól származó | „nagyon ritka” → „rendkívül ritka”
Tihamér | ♂ | A szláv Tihomir névből származó régi magyar személynév | csend + béke | „elég ritka” → „rendkívül ritka”
Timon | ♂ | Görög eredetű név | tisztelt ; megbecsült | „rendkívül ritka” → „nagyon ritka”
Timót | ♂ | A Timóteusz ‣ név magyar rövidülése | | „nagyon ritka” → „rendkívül ritka”
Timóteus | ♂ | A Timóteusz ‣ névnek a magyar ejtésváltozata | | „néhány előfordulás” → „nagyon ritka”
Timóteusz | ♂ | A görög Timotheosz név latin Timotheus formájából származik | istentisztelő | „néhány előfordulás” → „néhány előfordulás”
